age,unit,sex,indic_em,geo,year,employment
Y15-24,THS_PER,F,ACT,SE,2020 ,286 
Y15-24,THS_PER,F,ACT,SI,2020 ,27 
Y15-24,THS_PER,F,ACT,SK,2020 ,57 
Y15-24,THS_PER,F,ACT,TR,2020 ,1575 
Y15-24,THS_PER,F,ACT,UK,2020 ,: 
Y15-24,THS_PER,F,EMP_LFS,AT,2020 ,216 
Y15-24,THS_PER,F,EMP_LFS,BE,2020 ,143 
Y15-24,THS_PER,F,EMP_LFS,BG,2020 ,47 
Y15-24,THS_PER,F,EMP_LFS,CH,2020 ,256 
Y15-24,THS_PER,F,EMP_LFS,CY,2020 ,16 
Y15-24,THS_PER,F,EMP_LFS,CZ,2020 ,91 
Y15-24,THS_PER,F,EMP_LFS,DE,2020 ,1869 bp
Y15-24,THS_PER,F,EMP_LFS,DK,2020 ,188 
Y15-24,THS_PER,F,EMP_LFS,EA19,2020 ,5230 
Y15-24,THS_PER,F,EMP_LFS,EE,2020 ,20 
Y15-24,THS_PER,F,EMP_LFS,EL,2020 ,61 
Y15-24,THS_PER,F,EMP_LFS,ES,2020 ,386 
Y15-24,THS_PER,F,EMP_LFS,EU15,2020 ,: 
Y15-24,THS_PER,F,EMP_LFS,EU27_2020,2020 ,6531 
Y15-24,THS_PER,F,EMP_LFS,EU28,2020 ,: 
Y15-24,THS_PER,F,EMP_LFS,FI,2020 ,121 
Y15-24,THS_PER,F,EMP_LFS,FR,2020 ,1013 
Y15-24,THS_PER,F,EMP_LFS,FX,2020 ,997 
Y15-24,THS_PER,F,EMP_LFS,HR,2020 ,41 
Y15-24,THS_PER,F,EMP_LFS,HU,2020 ,112 
Y15-24,THS_PER,F,EMP_LFS,IE,2020 ,113 
Y15-24,THS_PER,F,EMP_LFS,IS,2020 ,13 b
Y15-24,THS_PER,F,EMP_LFS,IT,2020 ,362 
Y15-24,THS_PER,F,EMP_LFS,LT,2020 ,39 
Y15-24,THS_PER,F,EMP_LFS,LU,2020 ,8 
Y15-24,THS_PER,F,EMP_LFS,LV,2020 ,22 
Y15-24,THS_PER,F,EMP_LFS,ME,2020 ,6 
Y15-24,THS_PER,F,EMP_LFS,MK,2020 ,17 
Y15-24,THS_PER,F,EMP_LFS,MT,2020 ,12 
Y15-24,THS_PER,F,EMP_LFS,NL,2020 ,663 
Y15-24,THS_PER,F,EMP_LFS,NO,2020 ,157 
Y15-24,THS_PER,F,EMP_LFS,PL,2020 ,407 
Y15-24,THS_PER,F,EMP_LFS,PT,2020 ,115 
Y15-24,THS_PER,F,EMP_LFS,RO,2020 ,196 
Y15-24,THS_PER,F,EMP_LFS,RS,2020 ,51 
Y15-24,THS_PER,F,EMP_LFS,SE,2020 ,221 
Y15-24,THS_PER,F,EMP_LFS,SI,2020 ,22 
Y15-24,THS_PER,F,EMP_LFS,SK,2020 ,45 
Y15-24,THS_PER,F,EMP_LFS,TR,2020 ,1104 
Y15-24,THS_PER,F,EMP_LFS,UK,2020 ,: 
Y15-24,THS_PER,M,ACT,AT,2020 ,269 
